City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Dikson,RU,2020-09-28 23:51:16,73.51,80.55,39.65,91,100,25.97
71,Kemi,FI,2020-09-28 23:51:16,65.86,24.82,50.0,93,80,5.82
72,Catalina,US,2020-09-28 23:48:37,32.51,-110.92,99.0,12,0,3.2
73,Bluff,NZ,2020-09-28 23:51:16,-46.6,168.33,37.0,82,100,18.01
74,Alekseyevsk,RU,2020-09-28 23:51:17,57.84,108.35,40.51,86,100,12.37
75,Port Alfred,ZA,2020-09-28 23:51:17,-33.59,26.89,55.65,66,1,14.54
76,Kamina,CD,2020-09-28 23:51:17,-8.74,24.99,69.91,85,98,3.56
77,Dunedin,NZ,2020-09-28 23:51:18,-45.87,170.5,37.0,70,87,8.01
78,Port Shepstone,ZA,2020-09-28 23:51:18,-30.74,30.45,59.97,75,62,3.74
79,Slawi,ID,2020-09-28 23:51:18,-6.98,109.14,78.85,73,70,6.46
80,Mana,GF,2020-09-28 23:51:18,5.66,-53.78,79.57,82,0,13.49
81,Taltal,CL,2020-09-28 23:51:19,-25.4,-70.48,56.14,74,14,3.42
82,Qaanaaq,GL,2020-09-28 23:51:19,77.48,-69.36,13.03,78,16,8.52
83,Pisco,PE,2020-09-28 23:51:20,-13.7,-76.22,64.4,77,4,14.99
84,Wenshang,CN,2020-09-28 23:51:20,35.73,116.5,67.01,69,100,4.23
85,The Valley,AI,2020-09-28 23:51:20,18.22,-63.06,84.2,74,20,10.29
86,Maceio,BR,2020-09-28 23:51:21,-9.67,-35.74,77.0,83,75,5.82
87,Esperance,AU,2020-09-28 23:51:21,-33.87,121.9,55.4,100,75,10.29
88,Agaro,ET,2020-09-28 23:51:21,7.85,36.65,57.87,86,21,1.57
89,Lompoc,US,2020-09-28 23:47:31,34.64,-120.46,72.0,73,1,12.75
90,Marovoay,MG,2020-09-28 23:51:22,-16.1,46.63,73.4,94,45,3.36
91,Ondo,NG,2020-09-28 23:51:22,7.1,4.83,72.05,99,97,2.3
92,Mar Del Plata,AR,2020-09-28 23:49:28,-38.0,-57.56,52.0,93,0,3.36
93,Kaitangata,NZ,2020-09-28 23:51:22,-46.28,169.85,34.0,86,100,5.99
94,Myaundzha,RU,2020-09-28 23:51:23,63.05,147.19,39.25,74,97,8.03
95,Egvekinot,RU,2020-09-28 23:51:23,66.32,-179.17,35.64,76,1,1.83
96,Hermanus,ZA,2020-09-28 23:51:23,-34.42,19.23,50.0,94,16,8.16
97,Faanui,PF,2020-09-28 23:51:24,-16.48,-151.75,78.26,79,3,18.25
98,Cape Town,ZA,2020-09-28 23:48:07,-33.93,18.42,50.0,87,8,2.24
99,Port Elizabeth,ZA,2020-09-28 23:51:24,-33.92,25.57,55.4,66,11,13.87
100,Tual,ID,2020-09-28 23:51:25,-5.67,132.75,80.73,82,95,14.94
101,Redmond,US,2020-09-28 23:51:15,47.67,-122.12,75.0,63,0,6.58
102,Mao,ES,2020-09-28 23:51:25,39.89,4.27,59.0,87,0,4.7
103,Casablanca,MA,2020-09-28 23:49:07,33.59,-7.62,69.01,93,80,2.24
104,Ushtobe,KZ,2020-09-28 23:51:25,45.25,77.98,38.57,74,14,9.69
105,San Fernando,PH,2020-09-28 23:51:25,15.03,120.69,78.8,88,75,2.24
106,Chokurdakh,RU,2020-09-28 23:51:26,70.63,147.92,40.77,79,30,6.04
107,Yenagoa,NG,2020-09-28 23:51:26,4.92,6.26,74.71,95,100,4.09
108,Nikolskoye,RU,2020-09-28 23:51:26,59.7,30.79,51.8,81,90,4.47
109,Tuktoyaktuk,CA,2020-09-28 23:51:27,69.45,-133.04,35.6,93,90,6.93
110,Hilo,US,2020-09-28 23:51:27,19.73,-155.09,84.2,62,1,9.17
111,Kyren,RU,2020-09-28 23:51:27,51.68,102.14,37.8,71,12,1.99
112,Pokhara,NP,2020-09-28 23:51:28,28.23,83.98,66.27,64,20,3.74
