,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,La Esperanza,GT,14.87,-91.57,70.0,50,85,0.25,moderate rain
361,Dunedin,NZ,-45.87,170.5,52.0,71,0,4.0,clear sky
362,Nordby,DK,55.45,8.4,57.2,93,99,12.75,overcast clouds
363,Cape Coast,GH,5.11,-1.25,75.83,89,59,8.84,broken clouds
364,Arlit,NE,18.74,7.39,96.73,18,0,2.06,clear sky
365,Hershey,US,40.29,-76.65,71.6,30,20,10.29,few clouds
366,Malakal,SS,9.53,31.66,73.02,82,7,0.67,clear sky
367,Jinxiang,CN,22.86,115.7,77.0,82,7,11.7,clear sky
368,Port Hedland,AU,-20.32,118.57,71.6,73,86,12.75,overcast clouds
369,San Javier,ES,37.81,-0.84,75.99,83,36,4.7,scattered clouds
370,Vila Do Maio,CV,15.13,-23.22,80.6,78,75,11.41,broken clouds
371,Santiago Del Estero,AR,-27.8,-64.26,81.93,28,0,15.61,clear sky
372,Terrace Bay,CA,48.78,-87.1,41.0,65,75,5.82,broken clouds
373,Iskateley,RU,67.68,53.15,44.87,91,97,12.35,light rain
374,Riyadh,SA,24.69,46.72,86.0,25,0,2.89,clear sky
375,Yauya,PE,-8.98,-77.3,60.1,50,68,6.71,light rain
376,Katastarion,GR,37.83,20.77,66.2,93,40,4.7,scattered clouds
377,Suntar,RU,62.14,117.63,26.47,90,71,3.89,broken clouds
378,Kirakira,SB,-10.45,161.92,80.51,77,45,10.22,scattered clouds
379,Brae,GB,60.4,-1.35,53.6,87,100,35.57,light rain
380,Valparaiso,CL,-33.04,-71.63,62.6,54,0,12.75,clear sky
381,Tierranueva,MX,21.68,-100.57,70.47,23,0,15.21,clear sky
382,Puerto Colombia,CO,10.99,-74.95,87.8,74,40,5.82,scattered clouds
383,Kyzyl-Suu,KG,42.34,78.0,43.65,62,18,1.9,few clouds
384,Esmoriz,PT,40.96,-8.63,61.0,86,100,3.0,overcast clouds
385,Nanortalik,GL,60.14,-45.24,37.02,77,23,25.19,few clouds
386,Leningradskiy,RU,69.38,178.42,36.59,94,100,11.07,light rain
387,San Cristobal,VE,7.77,-72.22,89.6,52,40,11.41,scattered clouds
388,Kampot,KH,10.62,104.18,78.8,88,40,9.17,scattered clouds
389,Jiayuguan,CN,39.82,98.3,43.57,52,9,2.71,clear sky
390,Nuevo Progreso,MX,23.17,-97.95,84.99,40,0,8.01,clear sky
391,Ngunguru,NZ,-35.62,174.5,58.37,64,100,9.15,overcast clouds
392,Almaznyy,RU,48.04,40.05,66.2,34,20,29.08,few clouds
393,Mirzapur,IN,25.15,82.58,76.1,61,58,3.67,broken clouds
394,Tabou,CI,4.42,-7.35,77.04,87,86,9.69,light rain
395,San Jeronimo,PE,-11.95,-75.28,60.71,44,70,7.11,light rain
396,Nioki,CD,-2.72,17.68,70.52,96,98,2.37,overcast clouds
397,Alice,US,27.75,-98.07,89.6,33,1,6.93,clear sky
398,Pangoa,PE,-12.12,-73.0,88.45,40,45,4.23,scattered clouds
399,Road Town,VG,18.42,-64.62,86.0,70,40,13.87,scattered clouds
400,Gandu,BR,-13.74,-39.49,72.66,84,34,3.74,scattered clouds
401,Sneek,NL,53.03,5.66,54.0,94,68,5.01,broken clouds
402,Lompoc,US,34.64,-120.46,100.4,19,1,10.29,clear sky
403,Lebanon,US,36.21,-86.29,71.01,30,20,6.93,few clouds
404,Toowoomba,AU,-27.55,151.97,61.0,93,0,5.82,clear sky
405,Rosa Zarate,EC,0.33,-79.47,80.17,70,97,4.81,overcast clouds
406,Tanggu,CN,39.02,117.65,53.6,66,0,2.24,clear sky
407,Bartica,GY,6.4,-58.62,77.0,88,40,4.7,shower rain
408,Sinnamary,GF,5.38,-52.95,82.58,72,26,7.92,scattered clouds
409,Egvekinot,RU,66.32,-179.17,33.91,88,100,16.02,overcast clouds
410,Belaya Gora,RU,68.53,146.42,31.68,87,99,5.86,overcast clouds
411,Cururupu,BR,-1.83,-44.87,78.85,77,100,5.32,overcast clouds
412,Taltal,CL,-25.4,-70.48,63.54,59,22,7.61,few clouds
413,El Alto,PE,-4.27,-81.21,66.15,75,73,19.44,broken clouds
414,Maua,BR,-23.67,-46.46,95.0,23,24,5.82,few clouds
415,Georgetown,MY,5.41,100.34,78.8,88,40,3.36,thunderstorm
416,Warmbad,NA,-28.45,18.73,44.92,59,0,8.72,clear sky
417,Vernon,CA,50.26,-119.27,62.6,67,1,5.82,clear sky
418,Xam Nua,LA,20.42,104.04,67.89,94,80,1.68,broken clouds
419,Nola,IT,40.92,14.53,62.6,88,9,2.24,clear sky
420,Kupang,ID,-10.17,123.58,76.42,79,71,10.25,broken clouds
421,Stephenville,US,32.22,-98.2,82.4,21,1,12.75,clear sky
422,Hatillo,PR,18.49,-66.83,84.2,66,1,16.11,clear sky
423,Lingao,CN,19.91,109.69,79.68,88,100,8.81,overcast clouds
424,Hoopstad,ZA,-27.83,25.91,56.3,31,0,10.2,clear sky
425,Athabasca,CA,54.72,-113.29,51.6,58,97,4.63,overcast clouds
426,Trelew,AR,-43.25,-65.31,46.67,43,100,22.19,overcast clouds
427,Kanker,IN,20.27,81.49,74.57,70,100,1.68,overcast clouds
428,Bonthe,SL,7.53,-12.51,77.41,87,100,5.93,overcast clouds
429,Chifeng,CN,42.27,118.96,46.38,57,0,11.39,clear sky
430,Kavaratti,IN,10.57,72.64,81.01,79,43,12.26,scattered clouds
431,Fort Morgan,US,40.25,-103.8,66.2,19,1,5.82,clear sky
432,Idlib,SY,35.93,36.63,71.6,68,40,6.93,scattered clouds
433,Gidam,IN,18.98,81.4,72.28,84,100,1.23,overcast clouds
434,Santarem,BR,-2.44,-54.71,91.4,52,20,11.41,few clouds
435,Vila Franca Do Campo,PT,37.72,-25.43,68.0,82,75,8.05,shower rain
436,Esmeraldas,BR,-19.76,-44.31,89.6,27,28,11.41,scattered clouds
437,Svobodnyy,RU,51.4,128.13,45.63,81,100,7.52,overcast clouds
438,Harper,LR,4.38,-7.72,76.98,87,93,10.02,light rain
439,Hirara,JP,24.8,125.28,80.51,71,1,7.14,clear sky
440,Lakes Entrance,AU,-37.88,147.98,55.0,57,0,13.0,clear sky
441,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,26,40,9.17,scattered clouds
442,Mehamn,NO,71.04,27.85,44.6,93,90,8.05,overcast clouds
443,Grimshaw,CA,56.18,-117.6,66.2,39,40,10.29,scattered clouds
444,San Vicente,AR,-26.62,-54.13,91.85,25,0,3.83,clear sky
445,Half Moon Bay,US,37.46,-122.43,91.99,58,5,3.36,clear sky
446,Bilma,NE,18.69,12.92,90.07,12,0,3.31,clear sky
447,Ugoofaaru,MV,5.67,73.0,81.46,74,62,11.12,broken clouds
448,Sumenep,ID,-7.02,113.87,80.8,78,0,6.13,clear sky
449,Itaituba,BR,-4.28,-55.98,92.98,39,97,2.15,overcast clouds
450,Berwick,US,41.05,-76.23,68.0,43,0,1.01,clear sky
451,Karratha,AU,-20.74,116.85,65.08,50,23,2.06,light rain
452,Palana,RU,59.12,159.97,41.43,97,33,1.48,scattered clouds
453,Coos Bay,US,43.37,-124.22,62.01,87,90,5.82,overcast clouds
454,Lago Da Pedra,BR,-4.33,-45.17,91.63,29,69,4.03,broken clouds
455,Itacare,BR,-14.28,-39.0,74.37,88,92,6.73,overcast clouds
456,Salgar,CO,5.96,-75.97,75.2,38,40,11.41,scattered clouds
457,Shache,CN,38.42,77.24,49.95,45,0,5.97,clear sky
458,Khorinsk,RU,52.17,109.77,28.2,90,100,5.03,overcast clouds
459,Touros,BR,-5.2,-35.46,80.6,65,20,13.87,few clouds
460,Balkanabat,TM,39.51,54.37,59.18,30,0,5.66,clear sky
461,Yulara,AU,-25.24,130.99,71.6,17,1,8.05,clear sky
462,Eenhana,NA,-17.47,16.33,69.8,15,0,3.36,clear sky
463,Pujehun,SL,7.36,-11.72,75.15,95,99,3.4,overcast clouds
464,Shiraz,IR,29.6,52.54,60.8,36,0,3.56,clear sky
465,Slave Lake,CA,55.28,-114.77,53.6,58,1,6.93,clear sky
466,Hambantota,LK,6.12,81.12,78.4,81,85,17.02,overcast clouds
467,Abasolo,MX,20.45,-101.52,78.8,10,5,8.86,clear sky
468,Yenagoa,NG,4.92,6.26,75.2,91,100,3.49,overcast clouds
469,Sobinka,RU,55.99,40.01,51.51,69,87,5.95,overcast clouds
470,Aitape,PG,-3.14,142.35,77.29,80,100,2.89,moderate rain
471,Manzanillo,CU,20.34,-77.12,88.7,64,96,1.12,overcast clouds
472,Tura,IN,25.52,90.22,74.57,94,100,1.59,light rain
473,Sur,OM,22.57,59.53,81.54,52,0,4.5,clear sky
474,Port Macquarie,AU,-31.43,152.92,57.99,84,0,8.81,clear sky
475,Salon-De-Provence,FR,43.64,5.1,60.8,93,100,2.24,overcast clouds
476,Aloleng,PH,16.13,119.78,81.25,78,99,4.0,overcast clouds
477,Clyde River,CA,70.47,-68.59,26.6,79,40,18.34,scattered clouds
478,Mitchell,US,43.71,-98.03,53.6,40,75,17.22,broken clouds
479,Mitu,CO,1.2,-70.17,86.34,60,100,1.52,light rain
480,Beloha,MG,-25.17,45.05,63.32,96,13,7.09,few clouds
481,Kiunga,PG,-6.12,141.29,71.91,98,100,2.51,overcast clouds
482,Bermeo,ES,43.42,-2.72,66.99,72,100,5.82,overcast clouds
483,Goderich,CA,43.75,-81.72,61.0,64,71,10.4,heavy intensity rain
484,Bubaque,GW,11.28,-15.83,82.74,79,100,10.78,overcast clouds
485,Linkuva,LT,56.09,23.97,51.8,87,20,8.05,few clouds
486,Vila,PT,42.03,-8.16,55.0,93,100,14.0,overcast clouds
487,Manyana,BW,-23.4,21.72,61.61,26,0,7.27,clear sky
488,Pipri,IN,19.8,75.53,73.54,78,100,6.42,overcast clouds
489,Callaway,US,30.15,-85.57,82.0,47,1,11.41,clear sky
490,Broome,US,42.25,-75.83,66.0,44,75,9.17,broken clouds
491,Henties Bay,NA,-22.12,14.28,55.0,80,0,4.0,clear sky
492,Grand Gaube,MU,-20.01,57.66,69.01,78,0,3.0,clear sky
493,Kazanskoye,RU,55.64,69.23,46.54,90,53,5.35,broken clouds
494,Garowe,SO,8.41,48.48,80.51,58,15,16.78,few clouds
495,Kargat,RU,55.2,80.28,38.97,83,74,4.63,broken clouds
496,Natal,BR,-5.79,-35.21,80.6,65,20,13.87,few clouds
497,Asau,RO,46.43,26.4,51.01,95,24,4.7,light rain
498,Alta Floresta,BR,-9.88,-56.09,73.83,86,88,4.59,moderate rain
499,Darasun,RU,51.67,114.0,33.8,97,75,6.71,broken clouds
500,Cayenne,GF,4.93,-52.33,87.8,62,58,9.17,broken clouds
501,Riviere-Au-Renard,CA,49.0,-64.4,66.2,52,75,5.82,broken clouds
502,Adrar,MR,20.5,-10.07,96.15,12,0,17.92,clear sky
503,Anaconda,US,46.13,-112.94,69.8,19,1,4.7,clear sky
504,Atkinson,US,42.84,-71.15,73.99,46,40,9.17,scattered clouds
505,Zhucheng,CN,35.99,119.4,65.79,73,79,5.39,broken clouds
506,Kismayo,SO,-0.36,42.55,78.31,86,92,12.1,overcast clouds
507,Salinopolis,BR,-0.61,-47.36,80.78,75,27,13.96,scattered clouds
508,Choix,MX,26.71,-108.32,96.13,21,0,4.9,clear sky
509,Prince Rupert,CA,54.32,-130.32,59.0,93,90,3.36,mist
510,Kalengwa,ZM,-13.47,25.0,71.19,37,13,1.34,few clouds
511,Laguna,US,38.42,-121.42,93.99,27,1,4.54,haze
512,Samarai,PG,-10.62,150.67,78.08,85,98,17.56,light rain
513,Surgut,RU,61.25,73.42,41.0,100,90,2.24,fog
514,Kurilsk,RU,45.23,147.88,53.56,85,100,4.23,overcast clouds
515,Oriximina,BR,-1.77,-55.87,92.68,37,100,5.26,overcast clouds
516,Zlotow,PL,53.36,17.04,55.99,85,69,5.01,broken clouds
517,Umba,RU,66.69,34.34,47.55,94,48,5.12,scattered clouds
518,Myrtle Beach,US,33.69,-78.89,75.99,53,1,10.29,clear sky
519,Seoul,KR,37.57,126.98,62.6,82,90,5.93,overcast clouds
520,Churapcha,RU,62.0,132.43,26.64,96,38,6.58,scattered clouds
521,Udachnyy,RU,66.42,112.4,21.2,92,90,2.24,light snow
522,Vaitape,PF,-16.52,-151.75,79.68,77,20,22.06,few clouds
523,Estelle,US,29.85,-90.11,86.0,30,1,10.29,clear sky
524,Elmira,US,42.09,-76.81,66.2,34,75,9.17,broken clouds
525,Port-Gentil,GA,-0.72,8.78,78.8,78,75,12.75,broken clouds
526,Dombarovskiy,RU,50.76,59.54,48.15,50,0,7.9,clear sky
527,Ilebo,CD,-4.32,20.58,72.55,91,56,2.13,broken clouds
528,Gat,IL,31.61,34.76,78.01,69,0,3.98,clear sky
529,Soyo,AO,-6.13,12.37,75.9,80,32,8.08,scattered clouds
530,Nabire,ID,-3.37,135.48,75.76,85,100,3.42,overcast clouds
531,Bairiki,KI,1.33,172.98,82.4,74,20,12.75,few clouds
532,Chimore,BO,-16.98,-65.13,96.85,28,26,4.92,scattered clouds
533,Kuching,MY,1.55,110.33,75.2,100,20,3.36,few clouds
534,Sale,MA,34.04,-6.82,68.0,77,75,3.36,broken clouds
535,Aquiles Serdan,MX,17.78,-92.28,75.2,94,75,11.41,moderate rain
536,Bastia,FR,42.67,9.33,66.0,87,20,4.7,few clouds
537,Brownsville,US,25.9,-97.5,86.0,45,1,4.7,clear sky
538,Tuktoyaktuk,CA,69.45,-133.04,39.2,93,90,11.41,overcast clouds
539,Gaya,IN,24.78,85.0,78.8,94,75,3.8,mist
540,Rawson,AR,-43.3,-65.1,45.23,51,88,22.91,overcast clouds
541,Belmonte,BR,-15.86,-38.88,82.4,83,20,1.12,few clouds
542,Petauke,ZM,-14.24,31.33,74.12,35,11,7.25,few clouds
543,Sayat,TM,38.78,63.88,53.6,50,0,4.7,clear sky
544,Ust-Ilimsk,RU,58.0,102.66,27.72,98,88,3.0,overcast clouds
545,Port Keats,AU,-14.25,129.55,79.2,69,11,2.04,few clouds
546,Demyansk,RU,57.64,32.47,50.74,67,0,6.64,clear sky
547,Marang,MY,5.21,103.21,78.8,88,20,2.24,few clouds
548,Saint-Georges,GD,12.06,-61.75,86.0,79,20,17.22,few clouds
549,Dharchula,IN,29.85,80.53,61.09,55,0,4.41,clear sky
550,Wilmington,US,34.23,-77.94,80.6,36,1,9.17,clear sky
551,Wanning,CN,18.8,110.4,79.54,87,100,2.26,overcast clouds
552,Lensk,RU,60.73,114.93,28.38,90,7,2.1,clear sky
553,Port Blair,IN,11.67,92.75,81.14,83,100,18.19,overcast clouds
554,Monduli,TZ,-3.3,36.45,69.8,68,40,23.04,scattered clouds
555,Purranque,CL,-40.92,-73.17,46.4,87,75,4.7,shower rain
556,Kousseri,CM,12.08,15.03,82.4,65,3,3.36,light rain
557,Tarasovskiy,RU,48.73,40.36,60.01,38,100,15.88,overcast clouds
558,Aklavik,CA,68.22,-135.01,39.2,100,90,11.41,overcast clouds
559,Havre-Saint-Pierre,CA,50.23,-63.6,57.2,67,75,3.36,broken clouds
560,Bowen,AU,-20.02,148.23,62.6,93,100,6.93,overcast clouds
561,Hervey Bay,AU,-25.3,152.85,64.99,85,76,1.01,broken clouds
562,Ojinaga,MX,29.57,-104.42,89.6,11,1,8.05,clear sky
563,Saint John,CA,45.27,-66.07,62.6,77,75,18.34,broken clouds
564,Nouadhibou,MR,20.93,-17.03,71.6,78,0,19.46,clear sky
565,Visnes,NO,59.36,5.22,59.0,51,100,13.87,overcast clouds
566,Kudahuvadhoo,MV,2.67,72.89,81.95,75,100,7.94,overcast clouds
567,Iberia,US,29.95,-91.75,87.8,31,1,3.36,clear sky
568,Shitkino,RU,56.37,98.35,27.41,98,18,2.71,few clouds
569,Namibe,AO,-15.2,12.15,62.87,85,7,1.57,clear sky
570,Simplicio Mendes,BR,-7.85,-41.91,86.27,22,45,3.42,scattered clouds
571,Kruisfontein,ZA,-34.0,24.73,54.0,83,99,3.0,light rain
572,Alekseyevsk,RU,57.84,108.35,28.0,90,55,0.63,broken clouds
573,Mogok,MM,22.92,96.5,64.35,100,100,2.55,overcast clouds
574,Severnyy,RU,50.68,36.55,64.4,32,100,17.9,light rain
575,San Matias,BO,-16.37,-58.4,106.36,15,77,5.79,broken clouds
576,Libreville,GA,0.39,9.45,78.8,83,75,8.05,broken clouds
577,Trenggalek,ID,-8.05,111.72,75.6,88,63,2.91,light rain
578,Tutoia,BR,-2.76,-42.27,80.29,78,68,14.61,broken clouds
579,Dauphin,CA,51.15,-100.05,46.4,61,90,3.36,overcast clouds
580,Jalu,LY,29.03,21.55,81.7,37,0,9.19,clear sky
581,Guanhaes,BR,-18.77,-42.93,76.71,49,92,5.84,overcast clouds
582,Obera,AR,-27.49,-55.12,95.76,23,0,3.02,clear sky
583,Ahuimanu,US,21.44,-157.84,86.0,65,20,4.54,few clouds
584,Tuatapere,NZ,-46.13,167.68,54.0,61,65,8.01,broken clouds
585,Derzhavinsk,KZ,51.1,66.32,46.6,54,0,6.06,clear sky
586,Izhevskoye,RU,54.56,40.87,51.12,65,59,7.47,broken clouds
587,Husavik,IS,66.04,-17.34,32.0,80,56,2.24,broken clouds
588,Kontagora,NG,10.4,5.47,74.64,87,5,2.8,light rain
589,Cap Malheureux,MU,-19.98,57.61,69.01,78,1,3.0,clear sky
590,Jayanca,PE,-6.39,-79.82,81.0,64,33,19.46,scattered clouds
591,Recas,RO,45.8,21.5,55.4,100,40,4.7,scattered clouds
592,Bandarbeyla,SO,9.49,50.81,77.5,87,69,16.13,broken clouds
593,San Antonio,US,29.42,-98.49,90.0,20,1,3.36,clear sky
594,Plock,PL,52.55,19.71,53.6,100,75,9.17,broken clouds
595,Camabatela,AO,-8.19,15.38,62.69,97,100,2.37,overcast clouds
596,Marsala,IT,37.8,12.44,75.0,88,20,9.17,few clouds
597,Anloga,GH,5.79,0.9,78.8,83,40,10.29,scattered clouds
598,Kieta,PG,-6.22,155.63,79.56,77,96,2.89,light rain
599,Biltine,TD,14.53,20.92,85.73,50,13,6.17,few clouds
600,Alyangula,AU,-13.85,136.42,68.0,94,11,13.53,few clouds
601,Jumla,NP,29.27,82.18,53.67,62,0,4.14,clear sky
602,Sabha,LY,27.04,14.43,85.3,16,0,9.08,clear sky
603,Aswan,EG,24.09,32.91,89.04,26,3,14.14,clear sky
604,Vila Velha,BR,-20.33,-40.29,82.0,74,2,17.22,clear sky
605,Marsa Matruh,EG,31.35,27.25,75.2,64,0,5.82,clear sky
606,Nizhniy Kuranakh,RU,58.84,125.49,33.17,94,97,5.26,overcast clouds
607,Padang,ID,-0.95,100.35,76.93,82,100,3.24,overcast clouds
608,Murray,US,40.67,-111.89,78.01,22,15,6.93,few clouds
609,Bonnyville,CA,54.27,-110.73,46.4,70,90,6.93,overcast clouds
610,Pringsewu,ID,-5.36,104.97,73.63,90,44,1.36,scattered clouds
611,Lanigan,CA,51.85,-105.03,45.5,57,100,5.17,overcast clouds
612,Noshiro,JP,40.2,140.02,57.22,90,5,5.64,clear sky
613,Svetlaya,RU,46.54,138.33,52.12,78,49,8.81,scattered clouds
614,Kopavogur,IS,64.11,-21.91,42.8,75,20,9.17,few clouds
615,Bushenyi,UG,-0.59,30.21,60.21,92,32,2.1,scattered clouds
616,Matamoros,MX,25.53,-103.25,86.0,15,5,14.85,clear sky
617,Bria,CF,6.54,21.99,70.07,93,100,1.36,light rain
618,Split,HR,43.51,16.44,60.8,87,40,4.7,light rain
619,Floro,NO,61.6,5.03,60.8,51,68,21.92,broken clouds
620,Alekseyevskoye,RU,55.31,50.11,44.6,81,45,2.66,scattered clouds
621,Jishou,CN,28.32,109.72,66.2,92,100,0.94,light rain
622,Kaka,TM,37.35,59.61,50.36,41,0,1.54,clear sky
623,Iquique,CL,-20.22,-70.14,62.6,72,75,18.34,broken clouds
624,Oeiras,BR,-7.03,-42.13,89.17,21,15,4.85,few clouds
625,Poso,ID,-1.4,120.75,78.01,72,71,6.55,broken clouds
626,Tateyama,JP,34.98,139.87,64.4,93,20,3.36,few clouds
627,Luoyang,CN,34.68,112.45,64.99,99,100,5.28,light rain
628,Limbang,MY,4.75,115.0,77.0,94,75,2.24,broken clouds
629,Mayumba,GA,-3.43,10.66,76.55,75,100,4.83,overcast clouds
630,Inta,RU,66.03,60.17,47.82,92,100,13.33,light rain
631,Khani,GE,41.96,42.96,64.4,77,40,24.16,scattered clouds
632,Manbij,SY,36.53,37.95,66.2,72,0,2.24,clear sky
633,Yongan,CN,39.7,113.69,41.02,61,0,8.08,clear sky
634,Mbandaka,CD,0.05,18.26,68.5,91,100,2.13,overcast clouds
635,Warrington,GB,53.39,-2.58,48.2,81,41,11.41,scattered clouds
636,Rabo De Peixe,PT,37.8,-25.58,69.8,77,75,10.29,broken clouds
637,Turtas,RU,58.94,69.13,43.99,93,0,4.54,clear sky
638,Mabaruma,GY,8.2,-59.78,82.26,77,97,6.08,overcast clouds
639,Mercedes,AR,-34.65,-59.43,64.0,40,94,15.99,overcast clouds
640,Tonantins,BR,-2.87,-67.8,80.74,92,100,3.27,overcast clouds
641,Abengourou,CI,6.73,-3.5,71.94,99,100,2.57,light rain
642,Tupik,RU,54.43,119.93,40.37,93,100,4.68,overcast clouds
643,Acarau,BR,-2.89,-40.12,80.55,70,0,19.82,clear sky
644,Socuellamos,ES,39.29,-2.79,59.0,66,0,10.0,clear sky
645,Gizo,SB,-8.1,156.84,81.01,77,100,5.68,light rain
646,Medina Del Campo,ES,41.31,-4.91,60.01,62,100,23.04,overcast clouds
647,Luderitz,NA,-26.65,15.16,53.15,74,0,8.12,clear sky
648,Ion Corvin,RO,44.12,27.8,62.01,67,75,6.93,broken clouds
649,Aksu,CN,41.12,80.26,53.44,37,0,3.29,clear sky
650,Kapuskasing,CA,49.42,-82.43,41.0,75,75,17.22,mist
651,Batangafo,CF,7.3,18.28,71.46,94,4,3.24,clear sky
652,Kununurra,AU,-15.77,128.73,77.0,94,90,4.7,overcast clouds
653,Tanete,ID,-3.94,119.78,77.74,85,97,8.63,overcast clouds
654,Atyrau,KZ,47.12,51.88,51.8,53,0,8.95,clear sky
655,Rocha,UY,-34.48,-54.33,57.83,71,0,9.51,clear sky
656,Riosucio,CO,5.42,-75.7,73.4,73,40,6.93,scattered clouds
657,Simiti,CO,7.96,-73.94,87.53,65,94,2.37,overcast clouds
658,Launceston,AU,-41.45,147.17,54.0,87,75,19.46,broken clouds
659,Mahajanga,MG,-15.72,46.32,78.8,83,40,5.82,scattered clouds
660,Harwich,GB,51.94,1.28,54.0,72,99,3.0,overcast clouds
661,Chapais,CA,49.78,-74.85,44.6,75,40,9.17,scattered clouds
662,Dicabisagan,PH,17.08,122.42,78.01,85,16,6.91,light rain
663,Ostersund,SE,63.18,14.64,48.2,87,92,11.41,overcast clouds
664,Talcahuano,CL,-36.72,-73.12,55.4,58,0,17.22,clear sky
665,Qinhuangdao,CN,39.93,119.59,52.5,57,0,8.25,light rain
666,Bambanglipuro,ID,-7.95,110.28,76.82,90,15,6.87,few clouds
667,Olafsvik,IS,64.89,-23.71,43.79,68,22,10.54,few clouds
668,Hoshangabad,IN,22.75,77.72,73.22,63,20,4.79,few clouds
669,Nibong Tebal,MY,5.17,100.48,78.8,94,20,1.86,few clouds
670,Plainfield,US,40.62,-74.42,68.0,42,90,5.82,overcast clouds
671,Red Deer,CA,52.27,-113.8,66.2,39,40,3.36,scattered clouds
672,Osa,RU,57.28,55.46,49.14,85,75,1.7,broken clouds
673,Mocorito,MX,25.48,-107.92,95.0,59,0,7.0,clear sky
674,Nagato,JP,34.38,131.2,66.2,88,20,3.36,few clouds
675,Champerico,GT,14.3,-91.92,70.0,96,42,9.33,scattered clouds
676,Batagay,RU,67.63,134.63,27.32,98,93,2.57,overcast clouds
677,Leh,IN,34.17,77.58,40.66,50,0,3.38,clear sky
678,Lata,PT,40.16,-8.33,60.01,78,100,4.0,overcast clouds
679,Nyakahanga,TZ,-1.6,31.14,62.69,81,1,2.62,clear sky
680,Mogadishu,SO,2.04,45.34,78.35,82,100,14.32,overcast clouds
681,Baruun-Urt,MN,46.68,113.28,29.98,91,67,12.33,broken clouds
682,Fuxin,CN,42.02,121.66,50.18,51,0,8.7,clear sky
683,Belyy Yar,RU,53.6,91.39,33.8,96,40,4.38,scattered clouds
684,Monforte De Lemos,ES,42.52,-7.51,52.0,88,100,15.01,light rain
685,Nortelandia,BR,-14.45,-56.8,103.1,14,53,5.01,broken clouds
686,Sucua,EC,-2.47,-78.17,75.2,64,75,4.7,broken clouds
687,Tombouctou,ML,20.0,-3.0,98.13,12,6,3.51,clear sky
688,Soledade,BR,-28.82,-52.51,77.88,73,0,2.86,clear sky
689,Khor,RU,47.89,134.95,47.91,75,83,6.15,broken clouds
690,Albania,AL,41.0,20.0,59.0,82,75,3.36,broken clouds
691,Talaya,RU,61.38,152.75,34.86,87,81,0.87,broken clouds
692,Soe,ID,-9.86,124.28,63.61,97,43,4.99,scattered clouds
693,Mastic Beach,US,40.77,-72.85,72.0,56,1,11.41,clear sky
694,Valleyview,CA,55.07,-117.29,68.25,41,1,15.19,clear sky
695,Kashin,RU,57.36,37.61,50.14,69,100,7.67,overcast clouds
696,Dixon,US,38.45,-121.82,91.4,21,1,5.82,clear sky
697,Mongo,TD,12.18,18.69,81.36,60,77,4.45,broken clouds
698,Kushiro,JP,42.98,144.37,54.14,84,94,0.29,overcast clouds
699,Kahului,US,20.89,-156.47,80.6,78,90,3.36,light rain
700,Payson,US,40.04,-111.73,80.01,30,1,4.7,clear sky
701,Waingapu,ID,-9.66,120.26,77.07,83,21,7.81,few clouds
702,Malanje,AO,-9.54,16.34,68.36,84,26,8.05,light rain
703,Ximei,CN,24.96,118.38,75.2,69,75,6.71,light rain
704,Tulum,MX,20.22,-87.47,87.01,70,75,11.41,broken clouds
705,Pacific Grove,US,36.62,-121.92,98.01,30,40,5.82,haze
706,Oktyabrskiy,RU,54.48,53.47,50.52,84,10,0.47,clear sky
707,Acapulco,MX,16.86,-99.89,86.0,74,75,9.17,broken clouds
708,Kamarion,GR,36.8,25.82,69.01,72,0,4.0,clear sky
709,Eyl,SO,7.98,49.82,77.02,85,16,17.85,few clouds
710,Livingston,GB,55.9,-3.52,45.0,93,87,5.82,overcast clouds
711,Gympie,AU,-26.19,152.66,62.01,90,0,1.01,light rain
712,Ust-Kuyga,RU,70.02,135.6,23.32,91,53,0.89,broken clouds
713,Itoman,JP,26.12,127.67,77.0,83,20,8.05,few clouds
714,Porto Novo,BJ,6.5,2.6,78.8,83,40,12.75,scattered clouds
715,Yiyang,CN,28.59,112.33,69.1,91,96,1.66,overcast clouds
716,Alice Town,BS,25.72,-79.3,83.12,65,51,1.3,broken clouds
717,Ordzhonikidze,KZ,52.44,61.74,45.77,67,0,5.46,clear sky
718,Pecos,US,31.42,-103.49,87.8,12,1,16.11,clear sky
719,Sompeta,IN,18.93,84.6,77.99,79,100,3.24,overcast clouds
720,College,US,64.86,-147.8,59.0,47,20,5.82,few clouds
