,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Rikitea,PF,-23.12,-134.97,73.29,80,21,21.21,few clouds
84,Denpasar,ID,-8.65,115.22,80.6,100,40,10.29,scattered clouds
85,Hilo,US,19.73,-155.09,75.2,88,90,4.7,moderate rain
86,Mutare,ZW,-18.97,32.67,67.66,62,10,3.56,clear sky
87,San Jose,US,37.34,-121.89,95.0,25,90,4.7,smoke
88,Cairns,AU,-16.92,145.77,71.6,78,75,10.29,broken clouds
89,Vanavara,RU,60.34,102.28,24.91,98,1,2.04,clear sky
90,Busselton,AU,-33.65,115.33,55.0,84,95,10.58,overcast clouds
91,Nome,US,64.5,-165.41,50.0,66,90,13.87,overcast clouds
92,New Norfolk,AU,-42.78,147.06,59.0,60,1,3.0,clear sky
93,Shahpur,IN,16.7,76.83,74.82,80,100,4.99,overcast clouds
94,Senneterre,CA,48.38,-77.23,44.6,75,75,3.36,broken clouds
95,Arraial Do Cabo,BR,-22.97,-42.03,78.8,78,18,24.16,few clouds
96,Gurupa,BR,-1.41,-51.64,87.53,52,93,2.51,overcast clouds
97,Batemans Bay,AU,-35.72,150.18,48.99,93,0,1.01,clear sky
98,Labuhan,ID,-6.88,112.21,79.5,81,21,7.07,few clouds
99,Marawi,PH,8.0,124.29,75.99,92,60,3.0,broken clouds
100,Port Alfred,ZA,-33.59,26.89,57.31,72,100,18.25,overcast clouds
101,Winnemucca,US,40.97,-117.74,86.0,8,1,9.17,clear sky
102,Kawalu,ID,-7.38,108.21,73.58,91,93,1.43,overcast clouds
103,Bambous Virieux,MU,-20.34,57.76,69.01,82,40,4.7,scattered clouds
104,Port Augusta,AU,-32.5,137.77,62.01,67,0,10.29,clear sky
105,Hamilton,US,39.18,-84.53,64.99,34,75,9.17,light rain
106,Turayf,SA,31.67,38.66,77.0,29,0,6.93,clear sky
107,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,74,44,20.8,scattered clouds
